"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
2.4,1.6,19,13,8,0,127,54,44,48,2.35185185185185,3560,1466.66666666667,2200,20,0.121599027207782
2.4,1.7,19,13,8,0,127,57,45,50,2.2280701754386,3580,1533.33333333333,2164.70588235294,20,0.121599027207782
2.4,1.6,19,13,8,0,125,65,51,56,1.92307692307692,3600,1733.33333333333,2600,20,0.121599027207782
2.7,1.9,22,15,11,0,126,68,51,58,1.85294117647059,3620,1600,2273.68421052632,20,0.121599027207782
3.2,2.2,25,17,7,0,128,64,46,53,2,3640,1225,1781.81818181818,20,0.121599027207782
3.3,2.3,26,18,7,0,128,65,47,55,1.96923076923077,3660,1236.36363636364,1773.91304347826,20,0.121599027207782
3.2,2.2,25,17,7,0,127,66,47,55,1.92424242424242,3680,1275,1854.54545454545,20,0.121599027207782
3.1,2.1,25,17,7,0,125,62,46,53,2.01612903225806,3700,1264.51612903226,1866.66666666667,20,0.121599027207782
3.3,2.3,26,18,9,0,127,64,47,54,1.984375,3720,1212.12121212121,1739.13043478261,20,0.121599027207782
3.4,2.3,27,18,9,0,129,65,48,56,1.98461538461538,3740,1223.52941176471,1808.69565217391,20,0.121599027207782
3.2,2.2,25,17,6,0,127,63,47,54,2.01587301587302,3760,1250,1818.18181818182,20,0.121599027207782
3.1,2.1,24,17,7,0,128,63,47,54,2.03174603174603,3780,1290.32258064516,1904.7619047619,20,0.121599027207782
3.1,2.1,25,17,10,0,128,67,50,57,1.91044776119403,3800,1367.74193548387,2019.04761904762,20,0.121599027207782
3.2,2.2,25,17,10,0,128,68,51,58,1.88235294117647,3820,1350,1963.63636363636,20,0.121599027207782
3,2,23,16,8,0,128,67,50,56,1.91044776119403,3840,1386.66666666667,2080,20,0.121599027207782
2.9,2,23,16,9,0,128,68,51,57,1.88235294117647,3860,1462.06896551724,2120,20,0.121599027207782
2.9,2,23,16,8,0,127,67,50,57,1.8955223880597,3880,1462.06896551724,2120,20,0.121599027207782
